generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,24.600000,34.420000,0.692621,0.060344,0.917393
500,21.420000,25.360000,0.525237,0.083133,0.767060
1000,43.279999,19.960000,0.386774,0.098834,0.655122
1500,29.200001,17.800000,0.301124,0.097615,0.617174
2000,37.639999,15.540000,0.208494,0.108208,0.572759
2500,34.400002,13.900000,0.138129,0.110122,0.526251
3000,43.099998,13.740000,0.093159,0.103478,0.538997
3500,29.520000,13.020000,0.067588,0.109548,0.505651
4000,40.279999,12.900000,0.052713,0.095053,0.509178
4500,45.560001,13.140000,0.045662,0.086495,0.522852
5000,41.759998,12.580000,0.034976,0.104123,0.501610
