generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,23.240000,49.000000,1.000000,0.054951,1.000000
500,15.100000,37.060000,0.788991,0.063670,0.917182
1000,26.900000,28.140000,0.602701,0.080013,0.800095
1500,22.559999,22.160000,0.469314,0.094627,0.695628
2000,28.879999,18.840000,0.322718,0.093196,0.643883
2500,39.299999,16.300000,0.223313,0.095615,0.594419
3000,37.480000,14.600000,0.139726,0.101346,0.554130
3500,44.180000,14.020000,0.116976,0.100833,0.546123
4000,44.000000,13.980000,0.108727,0.104012,0.543529
4500,45.340000,14.020000,0.105563,0.102919,0.546481
5000,42.919998,13.480000,0.083086,0.110205,0.525967
