generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,41.080002,44.340000,0.906631,0.055081,0.989332
500,21.200001,33.900000,0.731563,0.069133,0.876354
1000,18.200001,26.080000,0.578221,0.085017,0.754194
1500,15.800000,22.120000,0.490054,0.095963,0.681094
2000,39.759998,18.580000,0.361679,0.098459,0.617296
2500,36.919998,17.460000,0.302405,0.101725,0.602596
3000,28.920000,16.620000,0.286402,0.102706,0.578847
3500,48.119999,15.740000,0.200762,0.098259,0.573717
4000,46.759998,15.200000,0.192105,0.107354,0.557362
4500,45.160000,14.680000,0.174387,0.109512,0.545283
5000,48.119999,14.680000,0.138965,0.097968,0.558456
