generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,29.879999,44.400000,0.905405,0.054709,0.991944
500,38.480000,34.920000,0.752577,0.067473,0.890666
1000,41.560001,26.120000,0.566616,0.082649,0.765407
1500,38.639999,20.080000,0.418327,0.098432,0.648764
2000,40.720001,17.020000,0.284371,0.104139,0.595429
2500,19.420000,14.760000,0.178862,0.105875,0.542029
3000,35.919998,13.900000,0.106475,0.105890,0.541308
3500,32.340000,13.480000,0.062315,0.098047,0.537533
4000,31.879999,12.700000,0.034646,0.100060,0.510772
4500,21.760000,12.560000,0.025478,0.100842,0.508350
5000,34.580002,11.880000,0.013468,0.105708,0.483223
