generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,25.379999,29.180000,0.594928,0.072386,0.837450
500,29.400000,23.020000,0.496959,0.090988,0.700024
1000,31.440001,18.900000,0.349206,0.097318,0.636792
1500,22.040001,16.320000,0.227941,0.100034,0.590676
2000,36.520000,14.680000,0.138965,0.100739,0.553614
2500,37.919998,13.620000,0.102790,0.108143,0.513207
3000,36.000000,13.200000,0.078788,0.103660,0.520735
3500,34.480000,12.340000,0.045381,0.109981,0.491020
4000,37.040001,12.780000,0.037559,0.085243,0.523748
4500,37.580002,12.120000,0.013201,0.103439,0.492383
5000,37.259998,12.660000,0.006319,0.091587,0.508920
