generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,32.799999,10.020000,0.171657,0.150563,0.378740
500,27.059999,12.100000,0.076033,0.112253,0.478372
1000,36.680000,12.460000,0.041734,0.112979,0.497763
1500,40.000000,12.740000,0.031397,0.095844,0.511450
2000,40.520000,12.340000,0.016207,0.104908,0.500408
2500,29.680000,12.860000,0.012442,0.094320,0.519955
3000,32.919998,12.900000,0.000000,0.095423,0.519810
3500,28.860001,12.720000,0.000000,0.107493,0.529367
4000,30.959999,12.320000,0.000000,0.095990,0.498222
4500,45.759998,12.500000,0.000000,0.085521,0.508183
5000,41.060001,12.840000,0.000000,0.089327,0.522699
