generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,20.639999,30.020000,0.628914,0.072939,0.838076
500,31.760000,23.800000,0.497479,0.088421,0.727787
1000,34.340000,20.180000,0.384539,0.092784,0.662742
1500,39.000000,17.760000,0.301802,0.095691,0.618665
2000,29.700001,15.880000,0.221662,0.101499,0.580794
2500,45.740002,15.540000,0.213642,0.108285,0.572412
3000,35.520000,15.420000,0.178988,0.101066,0.570205
3500,44.919998,14.580000,0.170096,0.105919,0.537888
4000,33.599998,14.640000,0.163934,0.107593,0.544422
4500,38.279999,14.220000,0.146273,0.108050,0.532811
5000,45.459999,14.160000,0.135593,0.104935,0.531708
