generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,35.480000,39.500000,0.802025,0.056007,0.965530
500,25.420000,29.720000,0.643338,0.075830,0.820903
1000,25.240000,23.600000,0.496610,0.088079,0.725875
1500,42.000000,19.340000,0.378490,0.098891,0.645085
2000,34.560001,16.940000,0.290437,0.101020,0.592297
2500,24.559999,15.520000,0.185567,0.100510,0.570107
3000,31.700001,14.280000,0.117647,0.099048,0.548839
3500,38.759998,13.640000,0.073314,0.103930,0.533650
4000,31.139999,13.060000,0.049005,0.103011,0.516994
4500,38.340000,12.980000,0.033898,0.097909,0.519332
5000,34.720001,12.760000,0.021944,0.105392,0.513927
