generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,27.600000,19.340000,0.390900,0.101309,0.631919
500,26.260000,16.700000,0.280240,0.105465,0.587028
1000,41.279999,15.220000,0.202365,0.107197,0.554444
1500,33.480000,13.640000,0.131965,0.110864,0.513819
2000,37.660000,13.080000,0.055046,0.104574,0.514833
2500,32.400002,12.480000,0.032051,0.106192,0.490058
3000,35.040001,12.240000,0.016340,0.103024,0.497115
3500,39.400002,12.220000,0.013093,0.105365,0.488382
4000,45.720001,12.460000,0.012841,0.099878,0.508623
4500,25.799999,12.000000,0.006667,0.117362,0.492101
5000,28.379999,12.180000,0.003284,0.093851,0.500411
