generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,41.939999,49.000000,1.000000,0.054951,1.000000
500,14.320000,36.800000,0.777174,0.062967,0.919547
1000,39.419998,27.900000,0.606452,0.079745,0.795910
1500,29.639999,21.660000,0.457987,0.093355,0.687714
2000,39.439999,18.620000,0.324382,0.093970,0.637525
2500,35.959999,16.180000,0.237330,0.105316,0.586774
3000,29.559999,15.540000,0.211068,0.100375,0.566598
3500,35.680000,14.220000,0.135021,0.103039,0.546654
4000,43.360001,13.860000,0.101010,0.100605,0.540415
4500,46.180000,13.080000,0.076453,0.113709,0.520672
5000,42.400002,12.900000,0.068217,0.108560,0.516167
