generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,15.520000,38.580000,0.784863,0.056819,0.956537
500,17.540001,28.980000,0.648723,0.080894,0.798626
1000,23.700001,22.000000,0.505455,0.097484,0.670811
1500,25.940001,17.880000,0.340045,0.102368,0.606749
2000,25.120001,15.660000,0.245211,0.107051,0.558272
2500,35.500000,15.640000,0.171355,0.093575,0.581308
3000,29.500000,13.900000,0.138129,0.100634,0.533333
3500,34.919998,12.860000,0.096423,0.112917,0.504446
4000,34.959999,12.600000,0.047619,0.110377,0.496577
4500,29.940001,13.060000,0.027565,0.091463,0.521619
5000,34.160000,12.600000,0.025397,0.089578,0.504849
