generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,30.540001,19.140000,0.399164,0.101126,0.625517
500,45.700001,17.720000,0.331828,0.100318,0.599017
1000,43.959999,16.220000,0.288533,0.105994,0.561822
1500,35.160000,16.080000,0.228856,0.097768,0.578841
2000,41.599998,14.900000,0.198658,0.109111,0.549040
2500,45.540001,14.240000,0.174157,0.110462,0.530138
3000,43.320000,14.140000,0.149929,0.110462,0.540104
3500,44.500000,13.600000,0.117647,0.114660,0.524878
4000,23.379999,13.640000,0.070381,0.099708,0.537221
4500,38.400002,12.740000,0.053375,0.101825,0.499666
5000,41.139999,12.100000,0.029752,0.118346,0.483185
