generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,36.340000,39.100000,0.788747,0.055467,0.966780
500,22.620001,28.640000,0.625698,0.080333,0.802817
1000,28.660000,22.960000,0.480836,0.091322,0.714243
1500,22.879999,19.140000,0.365726,0.098916,0.645023
2000,37.959999,16.620000,0.259928,0.103020,0.595649
2500,34.400002,14.240000,0.171348,0.111524,0.537549
3000,38.560001,14.000000,0.114286,0.104134,0.538240
3500,29.820000,13.440000,0.053571,0.089845,0.533516
4000,41.279999,13.040000,0.042945,0.098030,0.520013
4500,34.439999,12.880000,0.021739,0.103345,0.517346
5000,23.719999,12.460000,0.006421,0.093384,0.504046
