generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,19.719999,39.500000,0.813165,0.057671,0.957144
500,27.120001,29.780000,0.647414,0.077643,0.821430
1000,26.520000,23.740000,0.483572,0.084079,0.732549
1500,30.320000,19.920000,0.379518,0.096435,0.660185
2000,46.500000,18.120000,0.298013,0.097842,0.627130
2500,46.220001,17.040000,0.251174,0.103147,0.614107
3000,45.099998,16.520000,0.256659,0.103312,0.587185
3500,44.680000,16.220000,0.226880,0.100825,0.585742
4000,46.599998,15.860000,0.214376,0.104342,0.576788
4500,46.700001,15.900000,0.211321,0.102819,0.578436
5000,46.720001,15.900000,0.208805,0.102297,0.579527
