generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,34.980000,14.140000,0.291372,0.123760,0.495559
500,45.340000,14.280000,0.187675,0.107602,0.526502
1000,39.480000,13.440000,0.125000,0.119557,0.516770
1500,29.959999,13.160000,0.085106,0.100670,0.518265
2000,27.120001,12.680000,0.053628,0.102142,0.503852
2500,37.720001,13.020000,0.033794,0.098403,0.524440
3000,31.280001,12.220000,0.013093,0.088518,0.495333
3500,31.360001,12.560000,0.012739,0.089731,0.509608
4000,43.320000,12.740000,0.012559,0.086235,0.513727
4500,28.900000,12.580000,0.003180,0.099177,0.505173
5000,31.900000,12.420000,0.003221,0.101858,0.498099
