generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,18.959999,38.740000,0.792979,0.057480,0.954777
500,31.080000,29.000000,0.624828,0.078510,0.812942
1000,36.220001,22.000000,0.454545,0.092677,0.691065
1500,40.599998,17.600000,0.343182,0.104511,0.596625
2000,36.279999,15.080000,0.230769,0.108636,0.539469
2500,36.380001,14.340000,0.170153,0.108550,0.531237
3000,35.799999,13.500000,0.124444,0.107466,0.524630
3500,29.000000,13.100000,0.088550,0.104585,0.508939
4000,35.139999,13.560000,0.061947,0.095559,0.531010
4500,29.000000,12.820000,0.043682,0.089214,0.508204
5000,42.080002,12.600000,0.031746,0.102337,0.503780
