generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,37.119999,44.740000,0.909253,0.054261,0.995885
500,21.240000,33.180000,0.694394,0.066934,0.884411
1000,18.320000,24.920000,0.528090,0.084207,0.747130
1500,41.480000,19.800000,0.408081,0.097895,0.642795
2000,40.939999,17.120000,0.259346,0.096314,0.612374
2500,44.340000,15.180000,0.171278,0.103893,0.564661
3000,41.240002,14.260000,0.103787,0.100086,0.548813
3500,33.560001,13.280000,0.054217,0.105133,0.529714
4000,27.900000,12.680000,0.031546,0.102427,0.505536
4500,30.080000,12.260000,0.016313,0.100455,0.496964
5000,44.939999,12.420000,0.006441,0.099822,0.501636
