generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,24.799999,15.420000,0.295720,0.114086,0.533550
500,32.240002,15.000000,0.234667,0.113222,0.538610
1000,39.520000,14.260000,0.176718,0.108298,0.524272
1500,36.459999,13.940000,0.163558,0.106053,0.515106
2000,47.279999,13.300000,0.132331,0.110201,0.491826
2500,41.380001,13.260000,0.105581,0.103564,0.506341
3000,35.040001,13.040000,0.076687,0.109801,0.512171
3500,34.639999,13.200000,0.051515,0.098495,0.521892
4000,43.779999,13.120000,0.042683,0.096788,0.515552
4500,41.560001,12.600000,0.038095,0.098993,0.507834
5000,43.680000,12.220000,0.026187,0.107244,0.488057
