generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,27.680000,49.000000,1.000000,0.054951,1.000000
500,18.240000,36.960000,0.778139,0.062387,0.921691
1000,31.940001,27.780000,0.616271,0.081348,0.783518
1500,20.639999,23.820000,0.507137,0.090397,0.728176
2000,21.240000,21.880000,0.453382,0.091872,0.686831
2500,30.840000,18.560000,0.342672,0.095224,0.619095
3000,44.919998,17.600000,0.281818,0.098065,0.612371
3500,36.959999,15.920000,0.231156,0.101196,0.570516
4000,28.760000,15.120000,0.193122,0.105889,0.550802
4500,25.559999,14.540000,0.145805,0.105689,0.545870
5000,32.180000,13.800000,0.124638,0.105032,0.522073
