generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,26.280001,19.280000,0.406639,0.098927,0.624503
500,23.120001,16.980000,0.296820,0.103377,0.593745
1000,37.919998,15.300000,0.201307,0.106010,0.557637
1500,37.139999,14.080000,0.139205,0.108057,0.532581
2000,29.520000,13.100000,0.079389,0.104938,0.515740
2500,26.400000,13.120000,0.060976,0.108970,0.524391
3000,26.219999,12.960000,0.027778,0.111520,0.517261
3500,40.080002,12.340000,0.019449,0.094832,0.495622
4000,41.459999,12.240000,0.016340,0.107471,0.489069
4500,34.560001,12.480000,0.003205,0.089397,0.501846
5000,21.280001,11.700000,0.003419,0.105992,0.477467
