generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,36.939999,11.900000,0.248739,0.139273,0.438522
500,33.660000,12.920000,0.145511,0.107438,0.499754
1000,26.440001,12.960000,0.095679,0.118254,0.496265
1500,33.119999,12.900000,0.062016,0.111281,0.512921
2000,41.259998,12.720000,0.040881,0.103036,0.508047
2500,40.639999,12.480000,0.025641,0.098567,0.501818
3000,36.439999,12.020000,0.016639,0.108750,0.485473
3500,44.320000,12.560000,0.012739,0.102566,0.504119
4000,27.280001,12.860000,0.006221,0.103725,0.525854
4500,30.520000,12.640000,0.000000,0.101340,0.521822
5000,35.840000,12.280000,0.000000,0.106931,0.497177
