generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,35.360001,12.240000,0.281046,0.133171,0.422524
500,47.799999,12.500000,0.240000,0.129565,0.434628
1000,47.799999,12.500000,0.240000,0.127313,0.434628
1500,47.799999,12.500000,0.240000,0.129663,0.434628
2000,47.080002,12.600000,0.234921,0.131829,0.443755
2500,48.580002,12.600000,0.234921,0.131274,0.443055
3000,48.580002,12.600000,0.234921,0.131274,0.443055
3500,48.580002,12.600000,0.234921,0.131274,0.443055
4000,48.580002,12.600000,0.234921,0.131274,0.443055
4500,48.580002,12.600000,0.234921,0.130442,0.443055
5000,44.220001,12.660000,0.233807,0.131668,0.449865
