generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,32.860001,11.160000,0.189964,0.138871,0.414176
500,38.480000,12.320000,0.103896,0.119843,0.482111
1000,41.639999,12.400000,0.067742,0.111172,0.490022
1500,41.900002,12.700000,0.031496,0.095157,0.506816
2000,46.900002,12.480000,0.025641,0.104330,0.502868
2500,29.580000,12.520000,0.022364,0.092832,0.513488
3000,37.759998,12.440000,0.006431,0.097980,0.504594
3500,34.939999,12.300000,0.003252,0.107026,0.496293
4000,33.259998,12.760000,0.003135,0.098153,0.518488
4500,29.920000,12.360000,0.000000,0.104933,0.505451
5000,42.720001,12.980000,0.000000,0.103026,0.528619
