generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,36.520000,11.820000,0.216582,0.140808,0.427423
500,32.299999,12.880000,0.118012,0.115335,0.483647
1000,32.759998,13.120000,0.076220,0.109195,0.513741
1500,31.020000,12.460000,0.041734,0.106961,0.496492
2000,37.320000,12.640000,0.015823,0.110883,0.510514
2500,40.700001,13.280000,0.015060,0.098634,0.536200
3000,42.459999,13.180000,0.012140,0.091299,0.535772
3500,41.000000,13.060000,0.012251,0.089656,0.531455
4000,41.139999,13.080000,0.012232,0.105838,0.532398
4500,45.360001,13.160000,0.012158,0.091073,0.535535
5000,34.580002,13.000000,0.012308,0.097786,0.526412
