generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,47.720001,11.900000,0.252101,0.141901,0.429776
500,26.940001,12.680000,0.135647,0.117439,0.483153
1000,41.500000,13.560000,0.091445,0.102295,0.532531
1500,39.020000,13.280000,0.063253,0.105949,0.521892
2000,20.059999,12.900000,0.040310,0.105791,0.517979
2500,28.100000,12.900000,0.018605,0.104500,0.514879
3000,21.180000,12.580000,0.009539,0.086982,0.513578
3500,38.279999,12.360000,0.003236,0.092449,0.506712
4000,35.779999,12.500000,0.000000,0.112288,0.515811
4500,22.620001,12.480000,0.000000,0.093407,0.514476
5000,33.660000,12.300000,0.000000,0.101179,0.507363
