generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,33.259998,11.960000,0.257525,0.148940,0.431119
500,25.219999,13.200000,0.136364,0.108813,0.497632
1000,37.439999,12.500000,0.108800,0.119546,0.491810
1500,37.980000,12.880000,0.071429,0.101384,0.512446
2000,28.820000,13.180000,0.045524,0.103859,0.528599
2500,37.779999,12.640000,0.025316,0.093706,0.502663
3000,31.980000,12.480000,0.016026,0.104353,0.495630
3500,42.500000,12.240000,0.006536,0.102104,0.487067
4000,29.180000,12.480000,0.003205,0.115494,0.506586
4500,27.440001,12.240000,0.000000,0.108137,0.500817
5000,21.219999,12.460000,0.000000,0.101549,0.506046
