generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,42.119999,12.460000,0.260032,0.135061,0.447715
500,39.520000,13.640000,0.167155,0.115627,0.518161
1000,32.160000,13.120000,0.067073,0.103804,0.520251
1500,38.700001,12.820000,0.040562,0.104091,0.508389
2000,34.040001,12.340000,0.019449,0.098725,0.498701
2500,25.000000,12.420000,0.012882,0.106110,0.499123
3000,33.639999,11.980000,0.010017,0.102546,0.484108
3500,32.799999,12.120000,0.006601,0.110249,0.497298
4000,26.080000,12.260000,0.003263,0.103085,0.498635
4500,23.120001,11.880000,0.003367,0.102997,0.491857
5000,25.760000,11.820000,0.000000,0.114608,0.484234
