generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,36.439999,11.260000,0.245115,0.144912,0.400251
500,33.700001,12.920000,0.123839,0.113494,0.491892
1000,38.880001,12.420000,0.067633,0.114372,0.492201
1500,23.620001,12.300000,0.039024,0.088520,0.493451
2000,31.980000,12.260000,0.026101,0.102942,0.486231
2500,32.939999,11.840000,0.013514,0.116105,0.480843
3000,29.120001,11.700000,0.013675,0.114683,0.477701
3500,22.340000,12.120000,0.009901,0.100946,0.486584
4000,38.200001,12.580000,0.003180,0.100084,0.506256
4500,29.700001,12.380000,0.000000,0.109994,0.504649
5000,34.740002,12.160000,0.000000,0.100624,0.493253
