generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,29.120001,11.940000,0.244556,0.141625,0.422133
500,43.540001,12.040000,0.215947,0.139313,0.444464
1000,42.779999,12.260000,0.179445,0.117990,0.453546
1500,45.480000,12.280000,0.179153,0.117676,0.453177
2000,37.599998,12.660000,0.151659,0.123356,0.476240
2500,45.820000,12.400000,0.138710,0.121876,0.467332
3000,45.959999,12.280000,0.133550,0.124519,0.466729
3500,48.200001,12.360000,0.132686,0.120173,0.470101
4000,48.200001,12.360000,0.132686,0.116549,0.470101
4500,48.700001,12.440000,0.131833,0.112691,0.471461
5000,48.700001,12.440000,0.131833,0.117474,0.471461
