generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,25.080000,11.700000,0.235897,0.140786,0.410113
500,30.320000,12.720000,0.128931,0.114095,0.480995
1000,25.280001,12.980000,0.083205,0.105939,0.506522
1500,41.340000,13.020000,0.052227,0.104503,0.518601
2000,21.340000,12.700000,0.028346,0.098207,0.509044
2500,21.200001,12.480000,0.012821,0.097519,0.503516
3000,34.860001,11.960000,0.006689,0.104649,0.495916
3500,38.299999,12.000000,0.003333,0.103304,0.495245
4000,35.160000,11.820000,0.000000,0.084524,0.483540
4500,26.440001,12.060000,0.000000,0.097364,0.483558
5000,30.680000,11.940000,0.000000,0.112601,0.483780
