generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,33.860001,11.460000,0.198953,0.142548,0.425581
500,33.299999,12.200000,0.127869,0.120628,0.463570
1000,44.619999,12.200000,0.104918,0.109233,0.469726
1500,29.959999,12.660000,0.063191,0.103925,0.503950
2000,45.220001,12.500000,0.051200,0.105554,0.498106
2500,40.740002,12.100000,0.029752,0.095025,0.485684
3000,42.220001,11.720000,0.027304,0.102213,0.470134
3500,32.320000,12.480000,0.022436,0.107604,0.511361
4000,38.840000,12.000000,0.020000,0.098700,0.497812
4500,37.180000,12.160000,0.006579,0.099021,0.499063
5000,25.840000,12.440000,0.006431,0.098235,0.503651
