generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,32.400002,12.060000,0.225539,0.132355,0.434573
500,40.540001,12.020000,0.166389,0.129024,0.451927
1000,23.299999,13.200000,0.109091,0.110807,0.512858
1500,35.799999,12.320000,0.074675,0.113202,0.486939
2000,38.160000,12.920000,0.061920,0.104553,0.509844
2500,30.020000,13.420000,0.038748,0.089961,0.544718
3000,33.380001,12.600000,0.031746,0.108679,0.516086
3500,37.680000,12.460000,0.019262,0.098143,0.495886
4000,34.840000,12.140000,0.019769,0.109411,0.494319
4500,37.820000,11.960000,0.016722,0.116723,0.487966
5000,40.180000,12.340000,0.012966,0.097911,0.493162
