generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,27.260000,11.880000,0.198653,0.138231,0.443720
500,39.799999,12.920000,0.117647,0.117874,0.485700
1000,27.459999,12.720000,0.081761,0.109243,0.493530
1500,38.040001,12.180000,0.042693,0.115329,0.488006
2000,37.820000,12.320000,0.035714,0.109110,0.497907
2500,42.419998,12.300000,0.029268,0.111448,0.499965
3000,44.959999,12.400000,0.022581,0.101242,0.500611
3500,45.299999,12.420000,0.022544,0.105041,0.501049
4000,46.580002,12.360000,0.019417,0.096979,0.501054
4500,44.639999,12.440000,0.019293,0.099381,0.502050
5000,46.619999,12.340000,0.019449,0.106947,0.498975
