generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,33.279999,11.500000,0.226087,0.144988,0.417084
500,34.040001,12.540000,0.111643,0.120659,0.479084
1000,36.619999,13.560000,0.073746,0.096709,0.529877
1500,37.419998,12.880000,0.043478,0.110698,0.521320
2000,43.439999,12.500000,0.025600,0.098656,0.515449
2500,32.419998,12.460000,0.016051,0.100847,0.499866
3000,35.560001,12.000000,0.010000,0.109175,0.475902
3500,31.840000,12.180000,0.000000,0.091403,0.489762
4000,23.340000,12.220000,0.000000,0.102784,0.496705
4500,22.959999,11.960000,0.000000,0.099110,0.484538
5000,28.000000,12.180000,0.000000,0.098098,0.503157
