generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,31.799999,12.020000,0.269551,0.143763,0.431185
500,44.840000,13.200000,0.148485,0.112042,0.504229
1000,33.919998,12.620000,0.079239,0.112068,0.484074
1500,35.400002,12.080000,0.046358,0.103306,0.496684
2000,37.939999,11.940000,0.030151,0.109718,0.471593
2500,26.240000,12.260000,0.006525,0.105875,0.499966
3000,27.120001,12.460000,0.000000,0.093143,0.508631
3500,34.040001,12.140000,0.000000,0.081937,0.497855
4000,37.860001,12.560000,0.000000,0.099022,0.516303
4500,31.260000,12.520000,0.000000,0.104134,0.508065
5000,39.720001,12.660000,0.000000,0.084972,0.511752
