generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,22.799999,11.520000,0.263889,0.141196,0.405672
500,28.480000,13.420000,0.160954,0.111219,0.496779
1000,36.400002,12.500000,0.076800,0.111666,0.485893
1500,29.820000,12.780000,0.043818,0.098301,0.503583
2000,33.680000,12.660000,0.015798,0.088222,0.510593
2500,28.320000,12.720000,0.012579,0.107617,0.509077
3000,32.500000,12.820000,0.012480,0.102525,0.516667
3500,44.360001,12.480000,0.012821,0.100330,0.506961
4000,34.080002,12.260000,0.013051,0.097281,0.503456
4500,45.080002,12.260000,0.013051,0.099528,0.494678
5000,28.240000,12.060000,0.006633,0.106520,0.485534
