generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,19.860001,12.180000,0.243021,0.135252,0.437366
500,28.680000,13.060000,0.134763,0.114928,0.497146
1000,46.380001,13.120000,0.091463,0.109736,0.509773
1500,36.939999,12.420000,0.061192,0.110586,0.486002
2000,40.360001,12.640000,0.034810,0.102884,0.499602
2500,35.820000,12.340000,0.029173,0.112503,0.496960
3000,29.200001,12.280000,0.019544,0.103071,0.504396
3500,39.020000,13.040000,0.012270,0.086613,0.523685
4000,28.580000,12.560000,0.009554,0.089830,0.506940
4500,32.980000,12.760000,0.003135,0.098719,0.510606
5000,38.320000,12.820000,0.003120,0.096808,0.518233
