generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,26.840000,11.360000,0.214789,0.143334,0.422139
500,34.660000,12.340000,0.097245,0.117343,0.478348
1000,33.980000,12.340000,0.084279,0.119521,0.481017
1500,35.040001,13.320000,0.066066,0.101387,0.523989
2000,36.200001,13.140000,0.051750,0.095564,0.522153
2500,35.939999,13.120000,0.048780,0.084544,0.520334
3000,36.060001,12.660000,0.037915,0.108419,0.502996
3500,30.900000,12.580000,0.034976,0.094799,0.496611
4000,34.959999,12.380000,0.019386,0.111049,0.500992
4500,35.599998,12.660000,0.012638,0.103330,0.520351
5000,36.700001,12.640000,0.006329,0.104576,0.507391
