generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,23.440001,11.700000,0.276923,0.143525,0.411079
500,44.880001,12.580000,0.213037,0.123110,0.463023
1000,38.480000,12.820000,0.174727,0.121993,0.481503
1500,43.099998,13.600000,0.100000,0.105827,0.528181
2000,39.040001,13.020000,0.067588,0.095763,0.513320
2500,42.400002,12.880000,0.043478,0.094511,0.519212
3000,38.680000,12.160000,0.026316,0.109482,0.487779
3500,47.400002,12.260000,0.009788,0.108533,0.499966
4000,38.480000,11.940000,0.010050,0.117111,0.482563
4500,31.959999,12.400000,0.006452,0.101789,0.506827
5000,46.200001,13.060000,0.003063,0.102133,0.534494
