generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,29.760000,12.080000,0.245033,0.137981,0.434507
500,47.139999,12.220000,0.229133,0.136522,0.441654
1000,46.939999,12.300000,0.204878,0.132744,0.458938
1500,47.279999,12.360000,0.197411,0.122966,0.462937
2000,46.160000,12.500000,0.195200,0.131136,0.459777
2500,47.720001,12.280000,0.198697,0.131398,0.450050
3000,47.439999,12.280000,0.195440,0.128605,0.450349
3500,47.380001,12.220000,0.193126,0.130479,0.448655
4000,47.500000,12.240000,0.192810,0.131722,0.449524
4500,47.360001,12.200000,0.193443,0.131767,0.447373
5000,47.480000,12.140000,0.194399,0.133141,0.445863
