generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,28.000000,12.480000,0.253205,0.128463,0.455618
500,42.980000,13.000000,0.126154,0.118250,0.498387
1000,41.619999,13.320000,0.078078,0.100433,0.527234
1500,34.660000,13.560000,0.038348,0.087522,0.538408
2000,39.900002,13.140000,0.024353,0.073815,0.536850
2500,39.000000,12.280000,0.009772,0.105273,0.501472
3000,24.320000,12.140000,0.006590,0.113048,0.493927
3500,30.760000,11.680000,0.003425,0.105616,0.463075
4000,29.480000,11.540000,0.003466,0.106991,0.465465
4500,32.240002,11.820000,0.000000,0.105429,0.468612
5000,36.680000,12.080000,0.000000,0.107880,0.495313
